"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L18951",43.363,-80.326,"ON","ON","17TNJ",13
"L18952",46.495,-84.284,"ON","ON","16TGS",12
"L19193",45.468,-75.54,"ON","ON","18TVR",13
"L19194",45.08333,-63.433333,"NS","AT","20TMQ",14
"L18953",53.3658419,-113.2145405,"AB","PR","12UUE",11
"L18954",46.495,-84.284,"ON","ON","16TGS",12
"L19195",46.495,-84.284,"ON","ON","16TGS",12
"L19196",45.78333,-66.15,"NB","AT","19TGL",14
"L71557",45.284,-66.075,"NB","AT","19TGL",14
"L19197",45.449598,-73.8017267,"QC","QC","18TWR",13
"L19212",44.6,-80.583333,"ON","ON","17TNK",13
"L19213",48.787,-123.283,"BC","BC","10UDV",5
"L71558",44.75,-79.883333,"ON","ON","17TNK",13
"L18955",48.489,-81.338,"ON","ON","17TMP",8
"L19214",44.283,-78.325,"ON","ON","17TQK",13
"L19215",42.78333,-80.2,"ON","ON","17TNH",13
"L18956",44.66667,-65.616667,"NS","AT","20TKQ",14
"L18957",44.75,-65.516667,"NS","AT","20TLQ",14
"L19216",54.13333,-114.4,"AB","PR","11UPA",6
"L18958",42.8360565,-80.3192901,"ON","ON","17TNH",13
"L20081",42.83333,-80.3,"ON","ON","17TNH",13
"L18959",43.789,-79.574,"ON","ON","17TPJ",13
"L18960",43.758,-79.516,"ON","ON","17TPJ",13
"L19217",46.05,-64.083333,"NB","AT","20TMS",14
"L18961",44.237,-76.555,"ON","ON","18TUP",13
"L19218",47.98333,-84.783333,"ON","ON","16TFU",8
"L19219",45.309,-73.261,"QC","QC","18TXR",13
"L18962",49.5,-119.58333,"BC","BC","11ULQ",9
"L19220",49.5,-119.58333,"BC","BC","11ULQ",9
"L71559",44.15,-79.866667,"ON","ON","17TNJ",13
"L18963",46.208,-62.821,"PE","AT","20TNS",14
"L18964",44.48333,-77,"ON","ON","18TUQ",12
"L19221",44.38333,-64.516667,"NS","AT","20TLQ",14
"L18979",42.05,-82.6,"ON","ON","17TLG",13
"L19222",43.565,-80.244,"ON","ON","17TNJ",13
"L19223",45.449,-73.912,"QC","QC","18TWR",13
"L18980",52.106,-106.596,"SK","PR","13UCT",11
"L19224",45.1514619,-77.6009457,"ON","ON","18TTR",12
"L18981",45.827,-77.132,"ON","ON","18TUR",13
"L18982",43.43,-79.686,"ON","ON","17TPJ",13
"L19225",53.526,-113.202,"AB","PR","12UUE",11
"L19240",46.443,-80.986,"ON","ON","17TNM",12
"L18983",43.628,-79.523,"ON","ON","17TPJ",13
"L18984",43.32888,-79.800096,"ON","ON","17TNH",13
"L18985",53.551,-113.573,"AB","PR","12UUE",11
"L19241",44.56667,-64.316667,"NS","AT","20TLQ",14
"L18986",48.406,-123.518,"BC","BC","10TDU",5
"L18987",49.5,-119.58333,"BC","BC","11ULQ",9
"L19242",44.71667,-80.45,"ON","ON","17TNK",13
"L18988",49.88333,-96.85,"MB","PR","14UPA",11
"L18989",44.4,-76.666667,"ON","ON","18TUQ",13
"L19243",43.275,-79.966,"ON","ON","17TNH",13
"L19244",44.237,-76.555,"ON","ON","18TUP",13
"L19245",45.36667,-63.266667,"NS","AT","20TMR",14
"L19246",45.1671826,-74.5602608,"ON","ON","18TWR",13
"L19247",49.2295652,-123.1981516,"BC","BC","10UDV",5
"L18991",44.4,-76.666667,"ON","ON","18TUQ",13
"L19006",49.11667,-85.833333,"ON","ON","16UEV",8
"L19248",51.21667,-102.46667,"SK","PR","13UFS",11
"L19007",42.86667,-82.15,"ON","ON","17TMH",13
"L19008",44.83333,-76.533333,"ON","ON","18TUQ",12
"L19249",47.98333,-84.783333,"ON","ON","16TFU",8
"L19250",45.49067,-79.459548,"ON","ON","17TPL",12
"L19009",43.605,-79.541,"ON","ON","17TPJ",13
"L19251",56.2820309,-120.8336922,"BC","BC","10UFH",6
"L19010",43.475,-79.707,"ON","ON","17TPJ",13
"L19011",43.49296,-79.982429,"ON","ON","17TNJ",13
"L19012",44.006,-77.143,"ON","ON","18TUP",13
"L19252",52.469,-113.737,"AB","PR","12UUD",11
"L19267",43.817,-79.431,"ON","ON","17TPJ",13
"L19268",44.371,-79.686,"ON","ON","17TPK",13
"L19269",49.32855,-123.0611591,"BC","BC","10UDV",5
"L19270",50.633,-96.986,"MB","PR","14UPB",6
"L19271",48.65,-123.56667,"BC","BC","10TDU",5
"L19272",49.78333,-93.2,"ON","ON","15UVR",12
"L19013",44.45,-80.9,"ON","ON","17TNK",13
"L19273",46.937,-60.247,"NS","AT","20TQT",14
